"network","geoname_id","registered_country_geoname_id","represented_country_geoname_id","is_anonymous_proxy","is_satellite_provider","postal_code","latitude","longitude","accuracy_radius","is_anycast"
"fd43:83b9:82e2::/48","1814991","1814991","","0","0","","39.906217","116.3912757","200",""
"fd43:83b9:82e2:face::/64","1850147","1861060","","0","0","","35.6937632","139.7036319","200",""
"fd43:83b9:82e2:1344::/64","1819730","1819730","","0","0","","22.396428","114.109497","200",""
"fd43:83b9:82e2:1250::/64","2982681","3017382","","0","0","","50.6913","3.16852","200",""
"fd43:83b9:82e2:1840::/64","4273837","6252001","","0","0","",,"39.10146","200",""
"fd43:83b9:82e2:eeee::/64","1806776","1814991","","0","0","","23.111944","114.416111","200",""
